Ecocentre|Arrondissement|Adresse|Telephone|Saison|Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche|Informations complémentaires
Hétrière|Arr. Sainte-Foy - Sillery - Cap-Rouge|3381 rue de l'Hêtrière||15 avril au 15 nov.|8h à 18h|8h à 18h|8h à 18h|8h à 18h|8h à 18h|8h à 17h|8h à 12h|
Hétrière|Arr. Sainte-Foy - Sillery - Cap-Rouge|3381 rue de l'Hêtrière||Hiver|Fermé|8h à 17h|8h à 17h|8h à 17h|8h à 17h|8h à 17h|Fermé|
Beauport|Arr. Beauport|425 boul. Raymond||15 avril au 15 nov.|8h à 18h|8h à 18h|8h à 18h|8h à 18h|8h à 18h|8h à 17h|8h à 12h|
Beauport|Arr. Beauport|425 boul. Raymond||Hiver|Fermé|8h à 17h|8h à 17h|8h à 17h|8h à 17h|8h à 17h|Fermé|
Des Rivières|Arr. Des Rivières|1700 rue Provinciale|418 684-2121 |15 avril au 15 nov.|8h à 18h|8h à 18h|8h à 18h|8h à 18h|8h à 18h|8h à 17h|8h à 12h|
Des Rivières|Arr. Des Rivières|1700 rue Provinciale|418 684-2121 |Hiver|Fermé|8h à 17h|8h à 17h|8h à 17h|8h à 17h|8h à 17h|Fermé|
Montmorency|Arr. La Cité-Limoilou|1251 boul. Montmorency||15 avril au 15 nov.|Fermé|9h à 17h|9h à 17h|9h à 17h|9h à 17h|9h à 17h|Fermé|
Montmorency|Arr. La Cité-Limoilou|1251 boul. Montmorency||Hiver|Fermé|9h à 17h|Fermé|9h à 17h|Fermé|9h à 17h|Fermé|
Val-Bélair|Arr. Haute Saint-Charles|1472 rue Jean-Bardot||15 avril au 15 nov.|Fermé|9h à 17h|9h à 17h|9h à 17h|9h à 17h|9h à 17h|9h à 17h|
Val-Bélair|Arr. Haute Saint-Charles|1472 rue Jean-Bardot||Hiver|Fermé|9h à 17h|Fermé|9h à 17h|Fermé|9h à 17h|Fermé|
Loretteville|Arr. Haute Saint-Charles|1811 rue St-Barthélémy||18 avril au 30 oct.|Fermé|16h à 20h|16h à 20h|16h à 20h|16h à 20h|8h à 18h|8h à 12h|L'Écocentre Loretteville pourrait, selon les conditions climatiques, ouvrir plutôt ou plutard dans l'année.
Loretteville|Arr. Haute Saint-Charles|1811 rue St-Barthélémy||Hiver|Fermé|Fermé|Fermé|Fermé|Fermé|Fermé|Fermé|L'Écocentre Loretteville pourrait, selon les conditions climatiques, ouvrir plutôt ou plutard dans l'année.
Matrec|Arr. Charlesbourg|1700 Jean-Talon Ouest||15 avril au 15 nov.|7h00 à 18h|7h00 à 18h|7h00 à 18h|7h00 à 18h|7h00 à 18h|7h00 à 18h|7h00 à 18h|L'Écocentre Matrec est un écocentre privé. Le contrat avec la Ville de Québec stipule qu'il doit être ouvert dans la plage d'heure mentionnée ci-dessus.
Matrec|Arr. Charlesbourg|1700 Jean-Talon Ouest||Hiver|8h30 à 16h30|8h30 à 16h30|8h30 à 16h30|8h30 à 16h30|8h30 à 16h30|8h30 à 16h30|Fermé|L'Écocentre Matrec est un écocentre privé. Le contrat avec la Ville de Québec stipule qu'il doit être ouvert dans la plage d'heure mentionnée ci-dessus.
