Bibliotheque|Telephone|Adresse|Lundi|Mardi|Mercredi|Jeudi|Vendredi|Samedi|Dimanche|Information complementaires sur les horaires
Gabrielle-Roy|418 641-6789|350, rue Saint-Joseph Est|8 h 30 à 21 h|8 h 30 à 21 h|8 h 30 à 21 h|8 h 30 à 21 h|8 h 30 à 21 h|10 h à 17 h|10 h à 17 h|
Place des enfants|418 641-6789|350, rue Saint-Joseph Est|10 h 30 à 17 h*|10 h 30 à 17 h*|10 h 30 à 17 h*|10 h 30 à 17 h*|10 h 30 à 17 h*|12 h à 17 h|12 h à 17 h|* Jusqu'à 19 h 30 pendant la saison estivale
Billetterie|418 641-6789|350, rue Saint-Joseph Est|10 h à 20 h 30|10 h à 20 h 30|10 h à 20 h 30|10 h à 20 h 30|10 h à 20 h 30|10 h à 16 h 30|10 h à 16 h 30|
Étienne-Parent|418 641-6110|3515, rue Clemenceau|8 h à 21 h|8 h à 21 h|8 h à 21 h|8 h à 21 h|8 h à 21 h|9 h à 17 h|9 h à 17 h|
du Chemin-Royal|418 641-6111|3095, ch. Royal|Fermé|10 h à 20 h|Fermé|10 h à 20 h|Fermé|12 h à 16 h 30|12 h à 16 h 30|
de Charlesbourg|418 641-6287|7950, 1re Avenue|12 h à 17 h|12 h à 21 h|12 h à 21 h|12 h à 21 h|12 h à 21 h|12 h à 17 h|12 h à 17 h|
Bon-Pasteur|418 641-6288|425, rue du Bienheureux-Jean-xxIII|Fermé|18 h à 21 h|18 h à 21 h|13 h 30 à 17 h|13 h 30 à 17 h|13 h 30 à 17 h|12 h à 17 h|
du Jardin|418 641-6289|4215, av. des Sauges|Fermé|18 h à 21 h|18 h à 21 h|13 h 30 à 17 h|13 h 30 à 17 h|13 h 30 à 17 h|12 h à 17 h|
Canardière|418 641-6793|1601, ch. de la Canardière|Fermé|13 h à 20 h|13 h à 20 h|10 h à 17 h 30|13 h à 17 h 30|13 h à 17 h|13 h à 17 h|
Collège-des-Jésuites|418 641-6792|1120, boul. René-Lévesque O|10 h à 17 h 30|10 h à 20 h|10 h à 17 h 30|10 h à 20 h|10 h à 17 h 30|10 h à 17 h|10 h à 17 h|
Saint-Albert|418 641-6791|5, rue des Ormes|12 h à 17 h 30|12 h à 20 h|10 h à 17 h 30|12 h à 17 h 30|12 h à 20 h|13 h à 17 h|13 h à 17 h|
Saint-Charles|418 641-6795|400, 4e Avenue|Fermé|13 h à 20 h|13 h à 17 h 30|13 h à 20 h|10 h à 17 h 30|13 h à 17 h|13 h à 17 h|
Saint-Jean-Baptiste|418 641-6798|755, rue Saint-Jean|12 h à 17 h 30|12 h à 17 h 30|12 h à 20 h|12 h à 17 h 30|10 h à 17 h 30|13 h à 17 h|13 h à 17 h|
Vieux-Québec|418 641-6797|37, rue Sainte-Angèle|Fermé|12 h à 17 h|12 h à 17 h|12 h à 17 h|12 h à 17 h|13 h à 17 h|13 h à 17 h|
Chrystine-Brouillet|418 641-6120|264, rue Racine|13 h à 20 h|13 h à 20 h|13 h à 20 h|13 h à 20 h|13 h à 20 h|10 h à 17 h|12 h à 17 h|
Félix-Leclerc|418 641-6435|1465, rue de l’Innovation|Fermé|12 h à 21 h|12 h à 21 h|12 h à 21 h|12 h à 17 h|12 h à 17 h|12 h à 17 h|
Le Tournesol|418 641-6121|530, rue Delage|13 h à 20 h|13 h à 20 h|13 h à 20 h|13 h à 20 h|13 h à 20 h|10 h à 17 h|12 h à 17 h|
Neufchâtel|418 641-6794|4060, rue Blain|10 h à 17 h|10 h à 20 h|10 h à 17 h|10 h à 20 h|10 h à 17 h|10 h à 17 h|10 h à 17 h|
Aliette-Marchand|418 641-6223|233, boul. Pierre-Bertrand|13 h à 17 h 30|13 h à 20 h 30|13 h à 20 h 30|13 h à 20 h 30|13 h à 17 h 30|10 h à 17 h|12 h à 17 h|
Jean-Baptiste-Duberger|418 641-6799|2475, boul. Central|Fermeture temporaire|Fermeture temporaire|Fermeture temporaire|Fermeture temporaire|Fermeture temporaire|Fermeture temporaire|Fermeture temporaire|
Lebourgneuf|418 641-6264|1650, boul. La Morille, bur. 230|Fermé|13 h à 17 h|13 h à 20 h|13 h à 17 h|13 h à 20 h|12 h à 17 h|12 h à 17 h*|* Fermé le dimanche du 15 juin à la fête du Travail
Romain-Langlois|418 641-6796|2035, boul. Masson|10 h à 17 h|13 h à 20 h|10 h à 20 h|13 h à 20 h|10 h à 20 h|10 h à 17 h|10 h à 17 h|
Saint-André|418 641-6790|2155, boul. Bastien|Fermé|10 h à 20 h|13 h à 17 h|10 h à 20 h|13 h à 17 h|10 h à 17 h|10 h à 17 h|
Charles-H.-Blais|418 641-6276|1445, av. Maguire|14 h à 21 h|14 h à 21 h|14 h à 21 h|14 h à 21 h|14 h à 21 h|13 h à 17 h|13 h à 17 h|
Monique-Corriveau|418 641-6277|999, av. Roland-Beaudin|13 h à 17 h|12 h à 21 h|12 h à 21 h|12 h à 21 h|13 h à 21 h|10 h à 17 h|13 h à 17 h|
Roger-Lemelin|418 641-6143|4705, rue de la Promenade-des-Sœurs|Fermé|14 h à 21 h|10 h à 21 h|14 h à 21 h|14 h à 18 h|12 h à 17 h|12 h à 17 h|
Champigny|418 641-6145|1465, rue Félix-Antoine-Savard|Fermé|18 h à 21 h*|18 h à 21 h*|18 h à 21 h*|Fermé|13 h à 17 h|Fermé|* 14 h à 21 h de la fin juin à la mi-août
