INSTANCE|SOUS_INSTANCE|TYPE_RENCONTRE|DATE_RENCONTRE|ENDROIT|NOM|SALLE|RUE|NUMERO_CIVIC
Conseil de quartier|Neufchâtel-Est / Lebourgneuf|3|2012.04.18 19:00:00||Centre communautaire Lebourgneuf|Salle de Culte|boulevard La Morille|1650
Conseil de quartier|Neufchâtel-Est / Lebourgneuf|2|2012.05.02 19:00:00|École Saint-Bernard|École Saint-Bernard|Gymnase|boulevard Bastien|1440
Conseil de quartier|Neufchâtel-Est / Lebourgneuf|2|2012.06.06 19:00:00|École Saint-Bernard|École Saint-Bernard|Gymnase|boulevard Bastien|1440
Conseil de quartier|Duberger-Les-Saules|2|2012.03.14 19:00:00||Centre communautaire Les Saules|Salle E102|rue De Musset|4124
Conseil de quartier|Duberger-Les-Saules|3|2012.04.11 19:00:00||Centre communautaire Duberger|Salle Desjardins|rue de la Rivière-du-Berger|2341
Conseil de quartier|Duberger-Les-Saules|2|2012.05.09 19:00:00|Centre communautaire Les Saules|Centre communautaire Les Saules|Salle E102|rue De Musset|4124
Conseil de quartier|Duberger-Les-Saules|2|2012.06.13 19:00:00|Centre communautaire Duberger|Centre communautaire Duberger|Salle Desjardins|rue de la Rivière-du-Berger|2341
Conseil de quartier|Chutes-Montmorency|2|2012.03.06 19:00:00||Centre Odilon-Blanchette||avenue Ruel|49
Conseil de quartier|Chutes-Montmorency|3|2012.04.03 19:00:00||Centre Odilon-Blanchette||avenue Ruel|49
Conseil de quartier|Chutes-Montmorency|2|2012.05.01 19:00:00|Centre Odilon-Blanchette|Centre Odilon-Blanchette||avenue Ruel|49
Conseil de quartier|Vanier|2|2012.02.27 19:00:00|Salle du conseil du Bureau d'arrondissement des Rivières, 330 rue Chabot||||
Conseil de quartier|Chutes-Montmorency|2|2012.06.05 19:00:00|Centre Odilon-Blanchette|Centre Odilon-Blanchette||avenue Ruel|49
Conseil de quartier|Vanier|2|2012.03.26 19:00:00|Salle du conseil du Bureau d'arrondissement des Rivières, 330 rue Chabot||||
Conseil de quartier|Vanier|2|2012.04.30 19:00:00|Salle du conseil du Bureau d'arrondissement des Rivières, 330 rue Chabot||||
Conseil de quartier|Vanier|2|2012.05.28 19:00:00|Salle du conseil du Bureau d'arrondissement des Rivières, 330 rue Chabot||||
Conseil de quartier|Vanier|2|2012.06.18 19:00:00|Salle du conseil du Bureau d'arrondissement des Rivières, 330 rue Chabot||||
Conseil de quartier|Saint-Sacrement|2|2012.03.07 19:00:00||Centre des loisirs Saint-Sacrement||boulevard de l'Entente|1360
Conseil de quartier|Saint-Sacrement|3|2012.04.04 19:00:00||Centre des loisirs Saint-Sacrement||boulevard de l'Entente|1360
Conseil de quartier|Saint-Sacrement|2|2012.05.02 19:00:00|Centre des loisirs Saint-Sacrement|Centre des loisirs Saint-Sacrement||boulevard de l'Entente|1360
Conseil de quartier|Saint-Sacrement|2|2012.06.06 19:00:00|Centre des loisirs Saint-Sacrement|Centre des loisirs Saint-Sacrement||boulevard de l'Entente|1360
Conseil de quartier|Sillery|2|2012.03.13 19:00:00|Centre communautaire Noël-Brulart, grande salle, 1229, avenue du Chanoine-Morel||||
Conseil de quartier|Sillery|2|2012.04.17 19:00:00|Centre communautaire Noël-Brulart|Centre Brulart|Salle 114|avenue du Chanoine-Morel|1229
Conseil de quartier|Sillery|2|2012.05.08 19:00:00|Centre communautaire Noël-Brulart|Centre Brulart|Salle 114|avenue du Chanoine-Morel|1229
